Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C16, C2, C22, C4",0603,6,4.7uF,
"C10, C11",0603,2,10pF,
"C13, C14, C15, C3",0603,4,100nF,
"C17, C18, C19, C23, C24, C25, C5, C6, C7",0603,9,0.1uF,
"C20, C26, C8",0603,3,47nF,
"C21, C27, C9",0603,3,1uF,
"D10, D11, D12",0603,3,~,
D2,0603,1,DEBUG_LED,
D3,SOT-143,1,PRTR5V0U2X,
"D4, D5, D6",0603,3,LED,
"D7, D8, D9",0603,3,red,
IC1,SOT95P275X110-5N,1,NCP164CSN330T1G,
J1,AMPHENOL_10155435-00011LF,1,10155435-00011LF,
"J10, J11, J12, J4, J5, J6",JST_B5B-XH-A_LF__SN_,6,B5B-XH-A_LF__SN_,
J13,SAMTEC_SSW-104-01-FM-D,1,SSW-104-01-FM-D,
J2,SAMTEC_MTSW-103-09-L-S-400,1,MTSW-103-09-L-S-400,
J3,CUI_TB003-500-P02BE,1,TB003-500-P02BE,
"J7, J8, J9",PHOENIX_1984620,3,1984620,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TRANS_DI025N06PT-AQ,18,DI025N06PT-AQ,
"R1, R2",0603,2,5.1K,
"R10, R11, R12, R13, R14, R15, R16, R17, R9",0603,9,1k,
"R18, R19, R20, R3, R4, R6, R7, R8",0603,8,3.3K,
"R21, R22, R23",0603,3,150,
"R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35",0603,12,0,
R5,0603,1,47,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F303RET6,
"U2, U3, U4",QFN50P600X600X80-41N,3,DRV8353FSRTAR,
Y2,OSC_X322516MLB4SI,1,X322516MLB4SI,
